Are you currently living on campus or commuting?,Are you currently working for pay?,"At this point in the semester, how certain are you that you will remain at RIC through the end of the academic year?","Compared to your expectations before the semester, would you say your workload is:",Do you feel a sense of belonging at RIC?,Do you feel organized and prepared for your academic workload?,Have you joined or participated in any of the following activities at RIC? (Check all that apply),"How confident are you in knowing where to go for academic support (e.g., tutoring, writing center, advising)?","How confident are you in knowing where to go for personal support (e.g., counseling, wellness services, basic needs)?",How do you feel you have been making friends and building connections so far?,How well do you feel you are balancing your academic responsibilities with your work and personal commitments?,How would you describe your sense of belonging at Rhode Island College so far?,"If yes, how many hours per week are you working?","In the past 6 weeks, have you felt any of the following ? (Check all that apply)",Is there anything that would help you feel more successful at RIC right now?,"On average, how many hours per week are you currently spending in co-curricular activities (clubs, organizations, athletics, etc.)?",What has been your biggest challenge during the first six weeks?,What has been your biggest success during the first six weeks?
Commute to RIC,No,Very certain,Much lighter,Strongly agree,true,Other,Somewhat confident,Very confident,I have made some friends and connections.,Well,I feel a strong sense of belonging.,,Overwhelmed by coursework,yes but  I'm not sure what I need .,1–5 hours,my biggest challenge during the first six week is math for sure.,my biggest success during first  six week is keeping all my grades at an A.
Living on Campus,No,Very certain,About the same,Agree,true,Attended a Campus Event,Very confident,Very confident,I have made some friends and connections.,Well,I feel a strong sense of belonging.,,Homesick,,1–5 hours,Time management sometimes.,Completing hw on time and get great grades and talking to professors. 
Commute to RIC,No,Certain,Slightly heavier,Neutral,false,Other,Neutral,Somewhat confident,I am struggling to make friends or connections.,Neutral,I feel neutral.,,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",n/a,1–5 hours,Learning how to study after spending all of high school not studying,Getting to class on time
Commute to RIC,No,Neutral/Unsure,About the same,Neutral,true,Attended a Campus Event,Neutral,Neutral,"I have made a few friends, but not strong connections yet.",Neutral,I feel neutral.,,Overwhelmed by non-academic responsibilities,,1–5 hours,The teachers ,I really don't know
Living on Campus,No,Very certain,About the same,Neutral,true,"Athletics (varsity, club, intramural);
Attended a Campus Event",Somewhat confident,Somewhat confident,I have made many close friends and strong connections.,Neutral,I feel neutral.,,"Homesick;
Overwhelmed by coursework",,1–5 hours,figuring out good study habits for exams,doing well on my quizzes
Commute to RIC,No,Neutral/Unsure,Slightly lighter,Neutral,true,Attended a Campus Event,Neutral,Neutral,I have made some friends and connections.,Neutral,I feel neutral.,,Overwhelmed by coursework,,1–5 hours,My biggest challenge has been getting used to the groove of college. It is not the same as high school which I like but it has been and adjustment  ,I think my biggest success in the first six weeks is that I got a really good grade on my first practical and I was not excepting that.
Commute to RIC,No,Certain,About the same,Neutral,false,Attended a Campus Event,Neutral,Neutral,"I have made a few friends, but not strong connections yet.",Not well,I feel neutral.,,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,1–5 hours,My biggest challenge has been trying to have self-discipline and not waiting to the last minute to do everything. I lack motivation and it's one of my goals to improve that. ,My biggest success has been being able to turn all my work in on time so far.
Living on Campus,No,Very certain,About the same,Neutral,true,"Attended a Campus Event;
Other",Very confident,Very confident,I have made some friends and connections.,Well,I feel neutral.,,"Homesick;
Lonely;
Overwhelmed by coursework",I don't really know. ,1–5 hours,Finding time to get a job. ,Managing everything in a way that doesn't overwhelm me.
Commute to RIC,No,Certain,About the same,Neutral,true,Attended a Campus Event,Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Neutral,I feel somewhat connected.,,Overwhelmed by coursework,Nothing at the moment.,1–5 hours,Getting to class on time.,Trying to focus on my work more.
Commute to RIC,No,Neutral/Unsure,Slightly heavier,Agree,true,"Attended a Campus Event;
Other",Very confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Neutral,I feel somewhat connected.,,Overwhelmed by coursework,n/a,1–5 hours,"My biggest challenge has been studying for sure, I say im going to do it and then bam its the day of the exam.",My biggest success has been me showing up for class and taking good notes.
Living on Campus,No,Certain,Much lighter,Neutral,true,"Performing arts (band, chorus, theatre);
Visual arts programs",Somewhat confident,Very confident,"I have made a few friends, but not strong connections yet.",Neutral,I feel somewhat connected.,,"Homesick;
Lonely;
Overwhelmed by coursework",,1–5 hours,staying consistent with coursework,making friends with my suitemates
Living on Campus,No,Very certain,Much lighter,Agree,true,Other,Somewhat confident,Very confident,I have made many close friends and strong connections.,Neutral,I feel somewhat connected.,,"Homesick;
Overwhelmed by non-academic responsibilities",Not currently. ,1–5 hours,Healing my injured toe and walking to class. ,The amount of friends I have made. 
Commute to RIC,No,Very certain,Slightly lighter,Agree,true,"Attended a Campus Event;
Other",Neutral,Neutral,I have made some friends and connections.,Neutral,I feel somewhat connected.,,Overwhelmed by non-academic responsibilities,ric 100  is a waste of time of a class and should be an option if students feel like they need it instead of a mandatory class ,1–5 hours,making it to 10am class ,94 on my first exam and an A in math
Living on Campus,No,Certain,Slightly heavier,Agree,true,"Student Government;
Other",Neutral,Somewhat confident,I have made some friends and connections.,Neutral,I feel somewhat connected.,,"Homesick;
Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",More friends.,1–5 hours,Getting adjusted to college.,Joining student government.
Living on Campus,No,Very certain,About the same,Agree,true,Attended a Campus Event,Somewhat confident,Somewhat confident,I have made some friends and connections.,Neutral,I feel somewhat connected.,,"Homesick;
Lonely;
Overwhelmed by coursework",,1–5 hours,"putting in the time, in my already busy schedule, to study ",keeping up with the workload 
Commute to RIC,No,Certain,Much heavier,Agree,false,Other,Somewhat confident,Neutral,I have not made any friends or connections.,Neutral,I feel somewhat connected.,,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",N/A,1–5 hours,Retaining information for math class,Passing my 3rd math quiz 
Commute to RIC,No,Very certain,About the same,Strongly agree,false,"Visual arts programs;
Attended a Campus Event",Somewhat confident,Somewhat confident,I have made some friends and connections.,Not well,I feel somewhat connected.,,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities","Having a space dedicated to working and studying and a human being beside me ensuring that I feel comfortable being productive 
Maybe I need to be evaluated and look into accommodations ",1–5 hours,Managing my time productively on and off campus ,Taking the time to properly understand my workload 
Living on Campus,No,Very certain,About the same,Neutral,true,Attended a Campus Event,Very confident,Somewhat confident,I have made some friends and connections.,Very well,I feel somewhat connected.,,"Homesick;
Overwhelmed by coursework",,1–5 hours,Getting a good grade in my anatomy lecture. ,My biggest success has been making friends and learning how to love studying. 
Commute to RIC,No,Certain,About the same,Agree,true,"Visual arts programs;
Attended a Campus Event",Neutral,Neutral,I have made many close friends and strong connections.,Well,I feel somewhat connected.,,Overwhelmed by coursework,,1–5 hours,"My biggest challenge has been doing my assignments the day before they are due, causing me to become a bit stressed. this is something I need to work on.",My biggest success during the first six weeks was being able to hand in my work on time. I've tried my best to try to be on top of my assignments and turn them in on time.
Living on Campus,No,Certain,About the same,Agree,true,"Athletics (varsity, club, intramural);
Attended a Campus Event",Somewhat confident,Neutral,I have made some friends and connections.,Well,I feel somewhat connected.,,Overwhelmed by coursework,no,1–5 hours,"motivation, balancing time",I understand a lot of the concepts being taught
Commute to RIC,No,Very certain,Slightly lighter,Neutral,true,Attended a Campus Event,Somewhat confident,Neutral,I have made some friends and connections.,Well,I feel somewhat connected.,,Lonely,,1–5 hours,Adjusting to my schedule.,Staying on top of my classwork while meeting new people.
Living on Campus,No,Very certain,Slightly lighter,Agree,false,"Community service or volunteer work;
Attended a Campus Event;
Other",Not very confident,Not very confident,I have made some friends and connections.,Well,I feel somewhat connected.,,"Homesick;
Lonely;
Overwhelmed by coursework",,1–5 hours,"Getting used to college/college classes, its been a bit hard staying organized and getting used to blackboard and staying on top of everything.","Remembering where my classes are, I've been pretty good at staying organized too."
Living on Campus,No,Certain,About the same,Agree,true,Other,Somewhat confident,Somewhat confident,I have made some friends and connections.,Well,I feel somewhat connected.,,Overwhelmed by coursework,,1–5 hours,"My biggest challenge in the first six weeks would be taking the time to make a schedule, and learn better time management. ","My biggest success during the first six weeks has been feeling more comfortable in my classes, and being able to understand the content more. "
Living on Campus,No,Very certain,About the same,Agree,true,Attended a Campus Event,Somewhat confident,Somewhat confident,I have made some friends and connections.,Well,I feel somewhat connected.,,Homesick,,1–5 hours,Waking up early to get to class.,Completing all my work on time and passing all my classes so far.
Commute to RIC,No,Very certain,Slightly heavier,Agree,true,Other,Somewhat confident,Somewhat confident,I have made some friends and connections.,Well,I feel somewhat connected.,,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,1–5 hours,"Getting overwhelmed by work is unfortunately easy for me, I need to work on time for me.",Maintaining a checklist under each date that allows me to complete work on time.
Commute to RIC,No,Very certain,About the same,Strongly agree,true,"Athletics (varsity, club, intramural);
Attended a Campus Event;
Other",Somewhat confident,Somewhat confident,I have made some friends and connections.,Well,I feel somewhat connected.,,"Homesick;
Overwhelmed by coursework",Don't know,1–5 hours,The biggest challenge was the technical problems. Being late to classes. Not finding the needed materials(books).,"I think professors understanding of technical problems. Doing homework ahead of times so I don't stress so much when the deadline of the assignment comes. Being able to do work out side of class days, with teachers help."
Commute to RIC,No,Certain,Slightly lighter,Agree,true,Other,Very confident,Very confident,I have made some friends and connections.,Well,I feel somewhat connected.,,Overwhelmed by coursework,,1–5 hours,Keeping up with coursework,Doing well in medical terminology
Commute to RIC,No,Neutral/Unsure,Much heavier,Strongly disagree,true,"Student Government;
Attended a Campus Event",Not very confident,Not very confident,I have not made any friends or connections.,Not well,I feel very disconnected.,,Overwhelmed by coursework,,1–5 hours,Being sick ,Time management 
Living on Campus,No,Very certain,Slightly heavier,Agree,true,"Athletics (varsity, club, intramural);
Attended a Campus Event",Neutral,Neutral,I have made some friends and connections.,Neutral,I feel a strong sense of belonging.,1–5,"Lonely;
Overwhelmed by non-academic responsibilities",,1–5 hours,My time management skills are not good,Just getting everything done on time 
Commute to RIC,No,Very certain,Slightly lighter,Strongly agree,true,Other,Very confident,Very confident,I have made many close friends and strong connections.,Very well,I feel a strong sense of belonging.,1–5,Homesick,"I just want to find out how I can do a minor in computer science, and have it done in 1 summer. Also I want to know how I can tell my academic advisor that I want to learn to play an instrument as one of my general education courses for next semester. ",1–5 hours,My biggest challenge was the first exam for biology 111 lecture.,My biggest success was getting greens on 1 quiz in chemistry and 1 green in the exam 1. Also doing good in biology quizzes now. 
Commute to RIC,"Yes, on campus",Very certain,Slightly lighter,Agree,true,Attended a Campus Event,Very confident,Very confident,I have made many close friends and strong connections.,Well,I feel a strong sense of belonging.,1–5,Overwhelmed by coursework,No ,1–5 hours,Writing my first 3 page paper this semester. ,Being able to keep up with all of my math work. 
Commute to RIC,"Yes, off campus",Very certain,About the same,Agree,true,Attended a Campus Event,Somewhat confident,Somewhat confident,I have made some friends and connections.,Well,I feel a strong sense of belonging.,1–5,Overwhelmed by coursework,,1–5 hours,time management ,completing all my assignments and doing well on exams
Living on Campus,"Yes, both on and off campus",Very certain,Much lighter,Agree,true,"Visual arts programs;
Attended a Campus Event;
Other",Neutral,Very confident,I have made some friends and connections.,Well,I feel a strong sense of belonging.,1–5,Overwhelmed by coursework,No,1–5 hours,The free time ,Doing me work 
Living on Campus,No,Certain,Slightly heavier,Neutral,true,Other,Somewhat confident,Neutral,"I have made a few friends, but not strong connections yet.",Neutral,I feel neutral.,1–5,Overwhelmed by non-academic responsibilities,No,1–5 hours,Time management ,Completing my work
Commute to RIC,No,Certain,Much heavier,Neutral,true,Other,Very confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Neutral,I feel neutral.,1–5,"Homesick;
Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,1–5 hours,Got to say the biggest challenge is being memorize for class especially spanish,For the past six week i been doing great and i would thank for CDA because that have im going through
Commute to RIC,No,Neutral/Unsure,Much lighter,Neutral,true,"Attended a Campus Event;
Other",Not very confident,Not very confident,"I have made a few friends, but not strong connections yet.",Well,I feel neutral.,1–5,Lonely,I think if I want to feel more successful I need to branch out and make or build strong connections and friends.,1–5 hours,My biggest challenge is getting involved in organizations and clubs without really knowing many people at this school.,My biggest success during the first six weeks was making friends and trying to get involved in different organizations. 
Commute to RIC,No,Very certain,Slightly lighter,Agree,true,Attended a Campus Event,Very confident,Very confident,I have made many close friends and strong connections.,Neutral,I feel somewhat connected.,1–5,Homesick,Honestly no I feel like my successful would be only on my drive to get the work done.,1–5 hours,My biggest challenge has been deciding on when I want to do my work and not hang out with my friends on campus because of the free time.,"Keeping up with the majority of my work, and making new friends."
Commute to RIC,"Yes, both on and off campus",Neutral/Unsure,Slightly heavier,Neutral,true,Attended a Campus Event,Neutral,Neutral,I have made some friends and connections.,Neutral,I feel somewhat connected.,1–5,Overwhelmed by coursework,,1–5 hours,Time management ,Having a good study habit 
Living on Campus,No,Certain,Slightly heavier,Neutral,true,Other,Somewhat confident,Not very confident,"I have made a few friends, but not strong connections yet.",Very well,I feel somewhat connected.,1–5,"Homesick;
Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",Having more yoga sessions weekly instead of once a week.,1–5 hours,"Finding my people and being away from home,",Studying & planning for assessments.
Living on Campus,"Yes, off campus",Certain,Slightly lighter,Agree,true,Other,Somewhat confident,Somewhat confident,I have made many close friends and strong connections.,Well,I feel somewhat connected.,1–5,Overwhelmed by non-academic responsibilities,No,1–5 hours,None,None
Living on Campus,"Yes, off campus",Certain,Slightly heavier,Neutral,true,Attended a Campus Event,Somewhat confident,Somewhat confident,I have made many close friends and strong connections.,Well,I feel somewhat connected.,1–5,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",N/A,1–5 hours,Showing up to some classes that are in the afternoon,Taking time to do my work and writing what I have to do
Commute to RIC,"Yes, on campus",Very certain,Slightly lighter,Neutral,true,"Performing arts (band, chorus, theatre);
Attended a Campus Event",Somewhat confident,Very confident,I have made some friends and connections.,Well,I feel somewhat connected.,1–5,Overwhelmed by non-academic responsibilities,N/A,1–5 hours,"Eating and sleeping enough, I always feel like I'm running off of nothing",Keeping up with homework and getting decent grades overall on summative assignments. 
Living on Campus,No,Somewhat uncertain,About the same,Disagree,true,Religious/spiritual groups,Somewhat confident,Neutral,I am struggling to make friends or connections.,Neutral,I feel somewhat disconnected.,1–5,Lonely,No,1–5 hours,A lot of work,None
Living on Campus,"Yes, off campus",Somewhat uncertain,About the same,Disagree,true,Attended a Campus Event,Somewhat confident,Somewhat confident,I have made many close friends and strong connections.,Neutral,I feel somewhat disconnected.,1–5,"Homesick;
Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",A more active environment and activities that peak my interest.,1–5 hours,"I was ill for two weeks, and it made me really lethargic and made classes a little tougher. ",Completing every assignment for all of my coursework.
Living on Campus,No,Certain,About the same,Disagree,true,"Athletics (varsity, club, intramural);
Attended a Campus Event;
Other",Very confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Well,I feel somewhat disconnected.,1–5,Lonely,,1–5 hours,"Remembering when thing are due in each class, especially when its not due on days we have classes",Being able to write essays with relative ease vs my past experiences 
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Agree,false,"Athletics (varsity, club, intramural);
Attended a Campus Event",Neutral,Neutral,I have made some friends and connections.,Neutral,I feel a strong sense of belonging.,11–15,Overwhelmed by coursework,nah,1–5 hours,"My major, Cybersecurity, is a asynchronous class, so theres no meet time and keeping up with the work is difficult for me, If theres no meeting in person or even on a call in all week, just work posted, It's pretty hard to do the work.",Showing up to class
Commute to RIC,"Yes, off campus",Very certain,Slightly heavier,Strongly agree,true,Attended a Campus Event,Somewhat confident,Very confident,"I have made a few friends, but not strong connections yet.",Very well,I feel a strong sense of belonging.,11–15,Overwhelmed by coursework,"As long as I keep my head up, and don't bring myself down, I will do perfectly fine.",1–5 hours,"My biggest challenge is actually being consistent with my work, funny enough! Even though I am staying consistent, the work load is much more bigger, and assignments/homework is guaranteed every class day.","From the first six weeks, my biggest success is staying consistent with my work. Such as doing notes, completing assignments, and taking advantage of any free time I have to study, or do work."
Living on Campus,"Yes, off campus",Somewhat uncertain,About the same,Agree,true,"Athletics (varsity, club, intramural)",Somewhat confident,Somewhat confident,I have made many close friends and strong connections.,Very well,I feel a strong sense of belonging.,11–15,Overwhelmed by coursework,"No, I feel like I have quite successful in the moment. ",1–5 hours,"I would say writing essays, it has never been my strongest attribute but I have been getting better with it. ",Getting all of my work done and getting it done correctly. 
Living on Campus,"Yes, off campus",Very certain,Much lighter,Agree,true,Attended a Campus Event,Somewhat confident,Somewhat confident,I have made many close friends and strong connections.,Well,I feel a strong sense of belonging.,11–15,Overwhelmed by non-academic responsibilities,"I feel well-adjusted, so there isn't anything Ric can do to help me be successful. ",1–5 hours,"My biggest challenge is getting my work done after the class is over. I have many classes, so I forget sometimes. ","My biggest success during my first six weeks was getting up on time for my classes. I thought this would be a difficulty, but I seem to manage it."
Commute to RIC,"Yes, off campus",Very certain,About the same,Strongly agree,true,Other,Somewhat confident,Very confident,I have made many close friends and strong connections.,Well,I feel a strong sense of belonging.,11–15,Overwhelmed by non-academic responsibilities,Have better time management.,1–5 hours,I feel like the biggest challenge was getting use word and just getting use Microsoft in general.,Getting use to Microsoft work space like Word Excel etc.
Living on Campus,"Yes, off campus",Very certain,Much lighter,Strongly agree,true,"Athletics (varsity, club, intramural);
Other",Very confident,Very confident,I have made many close friends and strong connections.,Well,I feel a strong sense of belonging.,11–15,Overwhelmed by coursework,no,1–5 hours,Trying to balance having fun over doing my work.,Passing all my classes so far with very consistent grades.
Commute to RIC,"Yes, off campus",Very certain,Slightly heavier,Strongly agree,true,Attended a Campus Event,Very confident,Very confident,I have made some friends and connections.,Well,I feel a strong sense of belonging.,11–15,Overwhelmed by coursework,more open lab opportunities,1–5 hours,Adjusting to the change in curriculum difficulty from high school to college,Ive maintained As in every class
Commute to RIC,"Yes, off campus",Very certain,Slightly heavier,Strongly agree,true,Attended a Campus Event,Very confident,Very confident,I have made some friends and connections.,Well,I feel a strong sense of belonging.,11–15,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",N/A,1–5 hours,the drive and parking  ,getting to class and on time 
Commute to RIC,"Yes, off campus",Neutral/Unsure,Slightly heavier,Neutral,true,Attended a Campus Event,Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Neutral,I feel neutral.,11–15,"Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,1–5 hours,Balancing my school and work load together and still allowing myself to have time for myself. Also commuting through traffic to get to school everyday. ,Making it to class on time and submitting my work on time. 
Living on Campus,"Yes, both on and off campus",Certain,Much lighter,Agree,false,"Visual arts programs;
Attended a Campus Event",Somewhat confident,Neutral,I have made some friends and connections.,Neutral,I feel neutral.,11–15,Overwhelmed by non-academic responsibilities,just a little more cheaper ,1–5 hours,understanding the loans and how all of it works.,Really applying myself in my marketing workstudy job.
Living on Campus,"Yes, off campus",Very certain,Much heavier,Agree,true,"Athletics (varsity, club, intramural)",Neutral,Not very confident,I have made some friends and connections.,Not well,I feel neutral.,11–15,"Homesick;
Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",Not at the moment,1–5 hours,My biggest challenge has been dealing with the workload and trying to find effective way of studying.,My biggest success has been getting to classes on time
Commute to RIC,"Yes, off campus",Very certain,Much lighter,Neutral,true,Visual arts programs,Somewhat confident,Somewhat confident,I have not made any friends or connections.,Very well,I feel neutral.,11–15,Overwhelmed by non-academic responsibilities,,1–5 hours,My biggest challenge during the first six weeks have been doing groupwork and interacting with peers.,My biggest success during the first six weeks has been getting all my work done and in on time.
Commute to RIC,"Yes, off campus",Very certain,Much heavier,Agree,true,Other,Neutral,Neutral,I have made some friends and connections.,Well,I feel neutral.,11–15,Overwhelmed by coursework,,1–5 hours,My biggest challenge has been keeping up with the studying for each class now that every class has a lot to be said everyday which stresses me out so I think it is something that I have to work harder on to be better at in the future. ,My biggest success that I have had during the first six weeks has been that I passed all of my exams with a grade that I liked. 
Commute to RIC,"Yes, off campus",Certain,Slightly heavier,Neutral,false,"Athletics (varsity, club, intramural);
Honor societies or academic clubs",Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Neutral,I feel somewhat connected.,11–15,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",Not really,1–5 hours,My biggest challenge has been trying to find time to study for everything so when it comes to an exam I don't feel overwhelmed. ,My biggest sucess has been actually completing all my work in time. 
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Agree,true,Attended a Campus Event,Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Neutral,I feel somewhat connected.,11–15,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",At the moment I feel I'm on the right path to being successful. ,1–5 hours,My biggest challenge during these six weeks has been finishing the class work in the order I'm supposed to. ,My biggest success has been turning in my work on time which was a big struggle for me in high school. 
Commute to RIC,"Yes, off campus",Certain,About the same,Agree,true,"Student Government;
Community service or volunteer work;
Attended a Campus Event",Somewhat confident,Neutral,I have made many close friends and strong connections.,Neutral,I feel somewhat connected.,11–15,Overwhelmed by coursework,n/a,1–5 hours,since im a commuter its hard to maintain my energy throughout a long day of classes,making friends and having study sessions
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Agree,true,"Athletics (varsity, club, intramural);
Attended a Campus Event",Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Very well,I feel somewhat connected.,11–15,Overwhelmed by non-academic responsibilities,Better commuter food plans. The value is not worth the price. ,1–5 hours,"Finding people to study with, so it is not as boring.",I have receive 90% and up on all of my assignments so far. I have been preparing well for exams.
Commute to RIC,"Yes, on campus",Very certain,Much lighter,Agree,true,"Campus publications;
Attended a Campus Event",Very confident,Very confident,"I have made a few friends, but not strong connections yet.",Very well,I feel somewhat connected.,11–15,Overwhelmed by non-academic responsibilities,no.,1–5 hours,"honestly nothing for now, I've been doing pretty good.",Getting a job here at the dining hall.
Commute to RIC,"Yes, off campus",Very certain,Slightly heavier,Agree,true,Attended a Campus Event,Neutral,Neutral,"I have made a few friends, but not strong connections yet.",Well,I feel somewhat connected.,11–15,Overwhelmed by coursework,I might want to start visiting the counseling center to get more support for my mental health.  ,1–5 hours,"There is a lot of work, and I get overwhelmed sometimes. ","My grades are really good right now, and I have completed all of my work on time. "
Living on Campus,"Yes, off campus",Neutral/Unsure,Slightly lighter,Agree,true,"Religious/spiritual groups;
Attended a Campus Event",Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Well,I feel somewhat connected.,11–15,"Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",No,1–5 hours,My biggest challenge has been my Into to Biology course. The professor talks very fast and it is not my learning style. I'm meeting up with a student tutor soon.,My biggest success is that I am able to get to classes on time and be prepared. I've been trying to build relationships with my professors as best as I can. 
Living on Campus,"Yes, off campus",Certain,About the same,Agree,true,Attended a Campus Event,Somewhat confident,Somewhat confident,I have made some friends and connections.,Well,I feel somewhat connected.,11–15,"Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,1–5 hours,Nothing so far.,"Going to every class, keeping my grades up and sticking with all the assignments."
Commute to RIC,"Yes, off campus",Certain,Slightly heavier,Neutral,true,"Athletics (varsity, club, intramural)",Somewhat confident,Somewhat confident,I have made some friends and connections.,Well,I feel somewhat connected.,11–15,Overwhelmed by non-academic responsibilities,No,1–5 hours,Finding things to do in between classes,Keeping up with work
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Agree,true,"Religious/spiritual groups;
Attended a Campus Event",Very confident,Very confident,I have made some friends and connections.,Well,I feel somewhat connected.,11–15,Overwhelmed by non-academic responsibilities,Nothing that I can currently think of.,1–5 hours,"For my biggest challege, it would have to be juggling the long-term projects some of my professors have given me on top of my shorter-term homework and tests to prepare for.","For me, my biggest sucess so far has been staying on top of classwork/studies and being engaged in my learning."
Living on Campus,"Yes, off campus",Very certain,Slightly lighter,Agree,true,Attended a Campus Event,Very confident,Very confident,I have made some friends and connections.,Well,I feel somewhat connected.,11–15,"Homesick;
Overwhelmed by non-academic responsibilities",n/a,1–5 hours,Getting involved on campus ,I have successfully prepared for both my exams and performed well on them 
Commute to RIC,"Yes, off campus",Certain,Slightly heavier,Disagree,true,Other,Somewhat confident,Neutral,"I have made a few friends, but not strong connections yet.",Well,I feel somewhat disconnected.,11–15,Lonely,,1–5 hours,trying to get involved on campus,Making it to all my classes and completing the work
Living on Campus,"Yes, on campus",Very uncertain,Much lighter,Strongly disagree,true,"Attended a Campus Event;
Other",Somewhat confident,Not at all confident,I have not made any friends or connections.,Very well,I feel very disconnected.,11–15,"Lonely;
Overwhelmed by non-academic responsibilities",,1–5 hours,Feeling connected/mental health,Only missing 1 class
Commute to RIC,"Yes, off campus",Very certain,About the same,Agree,true,Other,Neutral,Not very confident,I have made some friends and connections.,Neutral,I feel a strong sense of belonging.,16–20,Overwhelmed by non-academic responsibilities,Just using the library or even the cafe to chill and get my work done.,1–5 hours,Managing my time and figuring out a way to make sure I get a little work done everyday.,Writing down my assignments in my planner and keeping track of due dates.
Commute to RIC,"Yes, off campus",Very certain,About the same,Strongly agree,false,Attended a Campus Event,Neutral,Neutral,I have made many close friends and strong connections.,Not well,I feel a strong sense of belonging.,16–20,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",It all on me right now yall have done a great job.,1–5 hours,"Making a consistent schedule and sticking with it. Like, for example, I will have a day where I just completely lock in, then go a week without doing any work.",Just the social aspect and really exploring other people.
Commute to RIC,"Yes, off campus",Very certain,Slightly heavier,Agree,true,Attended a Campus Event,Very confident,Very confident,I have made some friends and connections.,Very well,I feel a strong sense of belonging.,16–20,Overwhelmed by coursework,no,1–5 hours,lab practical,my class scedule 
Commute to RIC,"Yes, both on and off campus",Very certain,Much lighter,Strongly agree,true,Other,Very confident,Very confident,"I have made a few friends, but not strong connections yet.",Well,I feel a strong sense of belonging.,16–20,Overwhelmed by non-academic responsibilities,"I feel that the add/drop period is way too short at RIC compared to other colleges such as CCRI. I really only had one week to decide, and most classes aren't deep into content by that time yet. If the drop period were at least 2-3 weeks instead of the one, I wouldn't have had to withdraw from my pre calc class.",1–5 hours,"My biggest challenge was having to withdraw from my pre calc class. I thought I could take on the work, but realized the class was not structured enough for me. The grades of the class are determined by only tests, so I believe it was about 4-5 tests that made up my entire grade. The professor was kind, but his teaching style was difficult to follow.",Meeting new people and feeling comfortable in my classes.
Commute to RIC,"Yes, off campus",Certain,Slightly lighter,Neutral,true,Other,Neutral,Neutral,I have made some friends and connections.,Neutral,I feel neutral.,16–20,Overwhelmed by non-academic responsibilities,No ,1–5 hours,The biggest challenge I've come across at RIC has been finding appropriate parking. ,My biggest success during my first weeks at RIC have been being able to stay on top of my work.
Commute to RIC,"Yes, off campus",Certain,Much heavier,Neutral,true,Attended a Campus Event,Somewhat confident,Neutral,I have made some friends and connections.,Neutral,I feel neutral.,16–20,Overwhelmed by coursework,,1–5 hours,Acclimating to the work load and getting  organized  after realizing I needed to study more than I was.,Being able to meet new people and network 
Living on Campus,"Yes, off campus",Neutral/Unsure,About the same,Neutral,true,Attended a Campus Event,Somewhat confident,Somewhat confident,I have made some friends and connections.,Neutral,I feel neutral.,16–20,Overwhelmed by coursework,,1–5 hours,my 8 am class,paying attention in class
Living on Campus,"Yes, off campus",Very certain,Slightly heavier,Agree,true,"Athletics (varsity, club, intramural);
Attended a Campus Event",Very confident,Not very confident,I am struggling to make friends or connections.,Not well,I feel neutral.,16–20,Lonely,Freshman 15 plus GAIN!!!!,1–5 hours,Waking up on time,My Parents and significant other
